region,product,revenue,date,units_sold
North,Electronics,1200.50,2023-01-05,12
South,Clothing,850.00,2023-01-07,17
East,Electronics,2300.75,2023-01-10,23
West,Food,430.20,2023-01-12,43
North,Furniture,3100.00,2023-01-15,6
South,Electronics,1750.00,2023-01-18,14
East,Clothing,620.50,2023-01-20,12
West,Electronics,980.00,2023-01-22,9
North,Food,310.80,2023-01-25,31
South,Furniture,2800.00,2023-01-28,5
East,Food,540.60,2023-02-01,54
West,Clothing,710.25,2023-02-03,14
North,Electronics,1650.00,2023-02-06,16
South,Food,290.40,2023-02-08,29
East,Furniture,4200.00,2023-02-11,8
West,Electronics,1120.90,2023-02-14,11
North,Clothing,930.00,2023-02-17,18
South,Electronics,2100.50,2023-02-20,21
East,Electronics,1890.75,2023-02-22,18
West,Furniture,2650.00,2023-02-25,5
North,Food,480.30,2023-03-01,48
South,Clothing,760.00,2023-03-04,15
East,Clothing,840.50,2023-03-07,16
West,Food,390.70,2023-03-10,39
North,Electronics,2450.00,2023-03-13,24
South,Furniture,3350.00,2023-03-16,6
East,Food,610.20,2023-03-19,61
West,Clothing,820.75,2023-03-22,16
North,Furniture,2900.00,2023-03-25,5
South,Electronics,1580.00,2023-03-28,15
East,Electronics,2750.50,2023-04-01,27
West,Furniture,3100.00,2023-04-04,6
North,Clothing,1050.00,2023-04-07,21
South,Food,410.60,2023-04-10,41
East,Furniture,3800.00,2023-04-13,7
West,Electronics,1340.20,2023-04-16,13
North,Food,560.90,2023-04-19,56
South,Clothing,890.00,2023-04-22,17
East,Clothing,730.50,2023-04-25,14
West,Food,450.30,2023-04-28,45
North,Electronics,1900.00,2023-05-01,19
South,Furniture,2700.00,2023-05-04,5
East,Electronics,2150.75,2023-05-07,21
West,Clothing,670.25,2023-05-10,13
North,Furniture,3400.00,2023-05-13,6
South,Electronics,1420.50,2023-05-16,14
East,Food,580.40,2023-05-19,58
West,Electronics,1060.00,2023-05-22,10
North,Clothing,780.00,2023-05-25,15
South,Food,360.80,2023-05-28,36
East,Furniture,4500.00,2023-06-01,9
West,Furniture,2800.00,2023-06-04,5
North,Food,620.50,2023-06-07,62
South,Clothing,940.00,2023-06-10,18
East,Electronics,1980.25,2023-06-13,19
West,Clothing,750.75,2023-06-16,15
North,Electronics,2200.00,2023-06-19,22
South,Furniture,3600.00,2023-06-22,7
East,Clothing,870.00,2023-06-25,17
West,Food,510.60,2023-06-28,51
North,Furniture,2750.00,2023-07-01,5
South,Electronics,1830.50,2023-07-04,18
East,Food,490.20,2023-07-07,49
West,Electronics,1280.75,2023-07-10,12
North,Clothing,860.00,2023-07-13,17
South,Food,440.90,2023-07-16,44
East,Electronics,2620.00,2023-07-19,26
West,Furniture,3250.00,2023-07-22,6
North,Food,700.30,2023-07-25,70
South,Clothing,810.00,2023-07-28,16
East,Furniture,3950.00,2023-08-01,8
West,Clothing,690.50,2023-08-04,13
North,Electronics,1750.25,2023-08-07,17
South,Electronics,2050.00,2023-08-10,20
East,Clothing,920.75,2023-08-13,18
West,Food,380.40,2023-08-16,38
North,Furniture,3200.00,2023-08-19,6
South,Furniture,2950.00,2023-08-22,5
East,Electronics,2400.00,2023-08-25,24
West,Electronics,1180.60,2023-08-28,11
North,Clothing,990.00,2023-09-01,19
South,Food,470.20,2023-09-04,47
East,Food,640.50,2023-09-07,64
West,Furniture,2600.00,2023-09-10,5
North,Electronics,2350.75,2023-09-13,23
South,Clothing,870.00,2023-09-16,17
East,Furniture,4100.00,2023-09-19,8
West,Clothing,730.25,2023-09-22,14
North,Food,530.80,2023-09-25,53
South,Electronics,1960.50,2023-09-28,19
East,Electronics,2850.00,2023-10-01,28
West,Food,420.70,2023-10-04,42
North,Furniture,3050.00,2023-10-07,6
South,Furniture,3100.00,2023-10-10,6
East,Clothing,800.25,2023-10-13,16
West,Electronics,1450.00,2023-10-16,14
